id,gender,age,study_year,program,employment_status,average_grade,daily_screen_time_hours,social_media_hours,sleep_hours,exercise_days_week,pss_1_overwhelmed,pss_2_control_reverse,pss_3_nervous,pss_4_confident_reverse,ds_1_notifications,ds_2_pressure_reply,ds_3_information_overload,ds_4_multitasking,ds_5_sleep_disruption,ds_6_online_comparison,ams_1_enjoy_learning,ams_2_effort,ams_3_career_relevance,ams_4_persistence,ams_5_interest,who_1_cheerful,who_2_calm,who_3_active,who_4_rested,who_5_interested,ea_1_worry,ea_2_tension,ea_3_avoidance,ea_4_concentration_difficulty,academic_satisfaction,research_methods_confidence,help_seeking_intention,perceived_stress_score,digital_stress_score,academic_motivation_score,wellbeing_score,exam_anxiety_score
1,Female,24,2,Psychology,Not employed,9.15,6.6,2.5,6.5,4,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,2.0,5.0,3.0,4.0,3.0,2.5,4.8,4.8,2.0
2,Female,21,5,Psychology,Not employed,7.35,4.4,4.3,7.4,2,4.0,3.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,2.0,4.0,2.6666666666666665,2.6,2.0,4.75
3,Male,19,1,Psychology,Not employed,8.18,5.1,3.5,6.6,4,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.5,3.3333333333333335,2.5,2.2,2.0
4,Prefer not to say,23,5,Applied Psychology,Not employed,8.14,5.8,3.4,7.3,2,4.0,2.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,3.0,1.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.8333333333333335,2.6,2.4,3.0
5,Female,20,5,Applied Psychology,Part-time,7.5,8.1,3.7,5.8,0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,4.0,4.666666666666667,2.0,2.6,4.5
6,Female,20,1,Applied Psychology,Full-time,8.23,4.7,3.2,7.4,3,1.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,2.0,5.0,2.0,2.0,2.0,1.5,2.6,4.0,3.75
7,Female,25,3,Applied Psychology,Part-time,8.23,5.4,4.4,6.9,3,2.0,4.0,2.0,4.0,4.0,,4.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,3.4,2.8,3.8,1.25
8,Male,18,2,Psychology,Not employed,8.02,5.9,4.0,7.0,3,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,2.75,3.6666666666666665,2.8,3.2,3.5
9,Prefer not to say,22,4,Applied Psychology,Not employed,8.38,5.5,1.4,8.3,3,3.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,5.0,2.25,1.1666666666666667,3.8,3.0,2.0
10,Male,18,3,Psychology,Not employed,8.4,4.7,1.6,6.9,3,4.0,3.0,4.0,,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.6666666666666665,4.166666666666667,4.4,3.4,2.5
